irn_id,ucase(route)
375,1
393,1
477,1
493,1
707,1
725,1
770,1
1060,1
1082,1
1601,1
1862,1
2145,1
2404,1
2437,1
2568,1
2672,1
2730,1
2876,1
2900,1
2905,1
3002,1
3034,1
3097,1
3110,1
3203,1
3293,1
3347,1
3375,1
3381,1
3450,1
3514,1
3563,1
3574,1
3712,1
3722,1
4255,1
4295,1
4304,1
4771,1
4781,1
4930,1
4973,1
5120,1
5121,1
5122,1
5129,1
5131,1
5218,1
5276,1
5280,1
5315,1
5341,1
5348,1
5358,1
5379,1
5381,1
5445,1
5534,1
5686,1
5687,1
5694,1
57646,1
57654,1
58091,1
59208,1
59485,1
59930,1
60375,1
60378,1
60546,1
60629,1
60657,1
60760,1
60767,1
60992,1
60993,1
61025,1
61288,1
61299,1
61436,1
61498,1
61581,1
61664,1
61683,1
61886,1
61888,1
61889,1
62032,1
62036,1
62153,1
62192,1
62201,1
62291,1
62599,1
62715,1
62811,1
62815,1
62829,1
62870,1
62954,1
62955,1
63022,1
63044,1
63723,1
64203,1
64204,1
64205,1
64206,1
64427,1
64502,1
64587,1
104324,1
104542,1
104555,1
104556,1
104569,1
104767,1
104816,1
104875,1
104972,1
104983,1
104991,1
104992,1
104993,1
105057,1
105087,1
105090,1
105092,1
105096,1
105097,1
105098,1
105124,1
105129,1
105134,1
105137,1
105190,1
105194,1
105198,1
105213,1
105241,1
105243,1
107214,1
107340,1
107603,1
107604,1
107607,1
107772,1
107776,1
107791,1
107801,1
107802,1
107803,1
107805,1
107806,1
107817,1
107818,1
107819,1
107850,1
107907,1
107908,1
107909,1
107910,1
107918,1
107920,1
107921,1
107922,1
107923,1
107924,1
107925,1
107926,1
107927,1
107928,1
107929,1
107930,1
107931,1
107936,1
107937,1
107995,1
107996,1
107997,1
108023,1
108025,1
108027,1
108028,1
108040,1
108041,1
108042,1
108043,1
108044,1
108045,1
108046,1
108047,1
108048,1
108049,1
108050,1
108052,1
108053,1
108054,1
111646,1
111648,1
111649,1
111650,1
111651,1
111652,1
111918,1
112155,1
132395,1
132396,1
132397,1
132399,1
163991,1
164284,1
164881,1
261300,1
261301,1
261324,1
261329,1
261330,1
277523,1
277566,1
278563,1
110548,10
110549,10
110839,10
110852,10
111684,10
111685,10
111766,10
111769,10
111770,10
111776,10
111777,10
111778,10
118642,10
163685,10
163696,10
163697,10
279790,10
279791,10
279792,10
279793,10
279794,10
279803,10
279804,10
279805,10
279806,10
279807,10
279808,10
279823,10
279824,10
279825,10
279826,10
279827,10
279828,10
279829,10
279830,10
279831,10
279832,10
279833,10
279834,10
489,2
491,2
524,2
532,2
732,2
817,2
1643,2
1860,2
1912,2
1950,2
2142,2
2436,2
2833,2
3865,2
4595,2
4606,2
4647,2
5043,2
5066,2
5701,2
60501,2
60561,2
60566,2
60754,2
60755,2
60802,2
60996,2
61208,2
61513,2
61578,2
61677,2
61678,2
61786,2
61787,2
61819,2
61823,2
61840,2
61935,2
62039,2
62122,2
62146,2
62295,2
62296,2
62297,2
62357,2
62502,2
62557,2
62608,2
62610,2
62686,2
62800,2
62803,2
62888,2
62957,2
100439,2
100446,2
100525,2
101393,2
101478,2
101479,2
101644,2
101645,2
101734,2
101735,2
101798,2
101799,2
101800,2
101801,2
101805,2
101806,2
101807,2
101808,2
101813,2
101816,2
101817,2
101818,2
101819,2
101820,2
101921,2
101922,2
102960,2
103280,2
103326,2
103495,2
103496,2
103497,2
103498,2
103499,2
103500,2
103504,2
103695,2
103697,2
103699,2
103700,2
103701,2
103703,2
103705,2
103706,2
103707,2
103708,2
103709,2
103710,2
103711,2
103712,2
103716,2
103719,2
119277,2
261309,2
261311,2
261312,2
261326,2
261327,2
279837,2
279838,2
279839,2
279840,2
279841,2
279842,2
279843,2
279844,2
279845,2
458,3
767,3
808,3
1045,3
1494,3
1661,3
2122,3
2192,3
2364,3
2461,3
2485,3
2505,3
2932,3
3345,3
3365,3
3594,3
3709,3
5134,3
5229,3
7472,3
7480,3
7711,3
7735,3
7804,3
7805,3
7811,3
8090,3
8109,3
8117,3
8118,3
8310,3
8340,3
8370,3
8383,3
8389,3
8421,3
8428,3
8456,3
8469,3
8669,3
8681,3
8699,3
8720,3
8722,3
8744,3
8769,3
8781,3
8792,3
8814,3
9403,3
9450,3
9611,3
9690,3
9695,3
9700,3
9745,3
9752,3
9753,3
9757,3
9758,3
9934,3
93133,3
93465,3
93491,3
93492,3
93516,3
93517,3
93518,3
93565,3
93566,3
93567,3
93612,3
93674,3
93675,3
93698,3
93801,3
93802,3
93851,3
96035,3
96604,3
96605,3
96607,3
96608,3
96609,3
96852,3
96884,3
97225,3
97395,3
98050,3
98051,3
98054,3
98055,3
98056,3
105400,3
105401,3
105402,3
105595,3
105596,3
105993,3
105994,3
106147,3
106148,3
106149,3
106150,3
106172,3
106501,3
106784,3
106785,3
106824,3
106825,3
106921,3
106932,3
106933,3
106939,3
106940,3
107161,3
107162,3
108980,3
108981,3
108982,3
108983,3
108995,3
108996,3
108997,3
110004,3
110005,3
110006,3
110007,3
110009,3
110010,3
110012,3
110013,3
110014,3
110015,3
112058,3
112102,3
112103,3
112113,3
163857,3
164149,3
164150,3
164151,3
164152,3
164552,3
261287,3
261298,3
265804,3
267663,3
279963,3
279964,3
279966,3
279983,3
372,4
756,4
757,4
803,4
824,4
1061,4
1076,4
1264,4
1698,4
2135,4
2153,4
2190,4
2204,4
2205,4
2782,4
2825,4
2901,4
3434,4
3562,4
3593,4
3734,4
4274,4
4296,4
4318,4
4415,4
4418,4
4419,4
4521,4
4540,4
4559,4
4562,4
4564,4
4565,4
4572,4
4573,4
4574,4
4575,4
4576,4
4577,4
4582,4
4583,4
4602,4
4605,4
4621,4
4624,4
4629,4
4631,4
4632,4
4635,4
4638,4
4820,4
4859,4
4907,4
4949,4
4970,4
4971,4
5016,4
5017,4
5018,4
5026,4
5030,4
5032,4
5035,4
5041,4
5044,4
5072,4
5074,4
5077,4
5078,4
5095,4
5132,4
5209,4
5230,4
5395,4
5409,4
5410,4
5463,4
5481,4
5610,4
5741,4
111663,4
111664,4
111666,4
111667,4
111669,4
111670,4
163786,4
261631,4
261633,4
261634,4
261635,4
261636,4
261640,4
261642,4
261650,4
261652,4
261654,4
261657,4
261658,4
261660,4
261661,4
261665,4
261713,4
261715,4
261716,4
261718,4
261719,4
261721,4
261722,4
261748,4
261750,4
261751,4
262781,4
262802,4
263306,4
263307,4
263308,4
263309,4
263312,4
265822,4
265823,4
279705,4
279706,4
279707,4
7379,5
7407,5
7409,5
7441,5
7463,5
7495,5
7710,5
7721,5
7722,5
7737,5
7767,5
7833,5
8011,5
8045,5
8149,5
8320,5
8680,5
8687,5
8731,5
8791,5
8807,5
9060,5
9319,5
9350,5
9452,5
9464,5
9642,5
9662,5
9676,5
9683,5
9684,5
9693,5
9719,5
9746,5
57180,5
57187,5
57632,5
58278,5
58279,5
58280,5
58736,5
58737,5
59660,5
59904,5
59906,5
60111,5
93425,5
96576,5
96577,5
96580,5
96581,5
96587,5
96588,5
96596,5
96597,5
96817,5
101809,5
101810,5
102520,5
103159,5
103480,5
103481,5
103483,5
103549,5
103551,5
103648,5
103702,5
103704,5
103720,5
103721,5
103887,5
103890,5
103891,5
103892,5
103898,5
103906,5
103909,5
103976,5
103981,5
104010,5
104011,5
104012,5
104060,5
104347,5
104372,5
104479,5
104597,5
104607,5
104614,5
104615,5
104682,5
104924,5
104925,5
104990,5
104994,5
104997,5
104998,5
105000,5
105001,5
105024,5
105099,5
105100,5
105177,5
105180,5
105206,5
105214,5
105215,5
105218,5
105230,5
105231,5
105252,5
105253,5
106826,5
106829,5
106830,5
106831,5
106832,5
106833,5
106837,5
106841,5
106969,5
107066,5
107067,5
107092,5
107093,5
107146,5
107157,5
108934,5
110067,5
110068,5
111895,5
111896,5
111976,5
112143,5
112145,5
112149,5
112222,5
112223,5
112224,5
112225,5
112226,5
112227,5
112228,5
112229,5
112230,5
120570,5
163662,5
163665,5
163667,5
163668,5
163672,5
163674,5
165095,5
260733,5
260734,5
277443,5
279747,5
279748,5
279835,5
279836,5
276971,6
276982,6
276991,6
277035,6
277045,6
277105,6
277106,6
277112,6
7380,7
7383,7
7398,7
7406,7
7410,7
7507,7
7678,7
7708,7
7983,7
8010,7
8020,7
8028,7
8335,7
8468,7
8473,7
8668,7
8678,7
9024,7
9032,7
9368,7
9643,7
9673,7
9790,7
100785,7
100786,7
101037,7
101179,7
101345,7
101361,7
101365,7
101367,7
101462,7
101463,7
101464,7
101465,7
101473,7
101474,7
101512,7
101640,7
101642,7
101646,7
101653,7
101654,7
101655,7
101656,7
101657,7
101658,7
101661,7
101748,7
101754,7
101755,7
101756,7
101757,7
101762,7
101763,7
101764,7
101774,7
101775,7
101776,7
101777,7
101794,7
101795,7
101796,7
101797,7
101802,7
101814,7
101815,7
101822,7
101823,7
101829,7
101873,7
101877,7
101878,7
101879,7
101901,7
101902,7
101906,7
101920,7
101923,7
101924,7
101931,7
101932,7
101933,7
101934,7
101935,7
101936,7
101937,7
101938,7
101958,7
101959,7
101960,7
101961,7
101972,7
101973,7
101974,7
101975,7
101977,7
101983,7
101984,7
101985,7
101986,7
102155,7
102162,7
102666,7
102675,7
102876,7
102877,7
102889,7
102964,7
103008,7
103050,7
103249,7
103251,7
103252,7
103429,7
103447,7
103537,7
103673,7
103674,7
103696,7
103772,7
103793,7
103806,7
103807,7
103822,7
103841,7
103847,7
103858,7
103871,7
103880,7
103923,7
103925,7
103927,7
103930,7
103931,7
103935,7
103936,7
103945,7
103946,7
103947,7
103948,7
103949,7
103960,7
103968,7
103969,7
104005,7
104008,7
104009,7
104034,7
104035,7
106653,7
106670,7
106674,7
106856,7
106857,7
106858,7
106859,7
106860,7
107128,7
107130,7
107131,7
107138,7
107139,7
107140,7
107141,7
107142,7
107143,7
107144,7
107145,7
107147,7
107767,7
107782,7
